Date,Open,High,Low,Close*,Adj Close**,Volume
01-01-84,997.50,1082.00,993.30,1063.00,1063.00,-
01-02-84,1062.60,1062.60,1010.00,1040.30,1040.30,-
01-03-84,1042.10,1131.30,1042.10,1112.50,1112.50,-
01-04-84,1112.50,1138.30,1090.00,1138.30,1138.30,-
01-05-84,1137.20,1142.80,1008.20,1021.00,1021.00,-
01-06-84,1026.80,1090.50,1024.30,1041.40,1041.40,-
01-07-84,1041.40,1065.10,978.70,1010.10,1010.10,-
01-08-84,1010.10,1104.60,1006.20,1103.90,1103.90,-
01-09-84,1105.20,1146.00,1076.90,1140.30,1140.30,-
01-10-84,1137.50,1155.30,1079.00,1151.00,1151.00,-
01-11-84,1151.00,1188.00,1147.70,1181.30,1181.30,-
01-12-84,1187.90,1232.30,1169.90,1232.20,1232.20,-
01-01-85,1232.20,1306.40,1199.60,1280.80,1280.80,-
01-02-85,1277.30,1300.30,1256.30,1259.70,1259.70,-
01-03-85,1257.60,1309.90,1247.70,1277.00,1277.00,-
01-04-85,1277.00,1313.00,1266.50,1291.00,1291.00,-
01-05-85,1293.70,1344.80,1293.70,1313.00,1313.00,-
01-06-85,1315.00,1336.70,1221.50,1234.90,1234.90,-
01-07-85,1234.90,1266.80,1215.40,1261.70,1261.70,-
01-08-85,1271.70,1341.10,1271.00,1340.80,1340.80,-
01-09-85,1340.30,1344.70,1269.50,1290.00,1290.00,-
01-10-85,1292.80,1379.10,1292.80,1377.20,1377.20,-
01-11-85,1377.20,1460.70,1371.50,1439.10,1439.10,-
01-12-85,1439.10,1439.60,1361.00,1412.60,1412.60,-
01-01-86,1412.60,1436.30,1365.70,1435.00,1435.00,-
01-02-86,1433.40,1555.20,1421.50,1543.90,1543.90,-
01-03-86,1543.90,1690.10,1529.80,1668.80,1668.80,-
01-04-86,1671.10,1721.70,1603.70,1660.50,1660.50,-
01-05-86,1645.40,1657.70,1554.00,1602.80,1602.80,-
01-06-86,1602.80,1649.80,1563.20,1649.80,1649.80,-
01-07-86,1652.50,1663.60,1536.80,1558.10,1558.10,-
01-08-86,1558.10,1662.00,1519.20,1661.20,1661.20,-
01-09-86,1661.20,1694.30,1539.20,1555.80,1555.80,-
01-10-86,1560.90,1632.20,1559.00,1632.10,1632.10,-
01-11-86,1634.40,1667.20,1596.20,1636.70,1636.70,-
01-12-86,1636.70,1679.20,1607.80,1679.00,1679.00,-
01-01-87,1679.00,1817.00,1674.50,1808.30,1808.30,-
01-02-87,1821.50,1995.30,1821.50,1979.20,1979.20,-
01-03-87,1981.30,2064.50,1965.70,1997.60,1997.60,-
01-04-87,1997.60,2050.90,1903.30,2050.50,2050.50,-
01-05-87,2061.70,2216.60,2058.80,2203.00,2203.00,-
01-06-87,2209.70,2327.60,2200.90,2284.10,2284.10,-
01-07-87,2273.40,2455.20,2265.50,2360.90,2360.90,-
01-08-87,2356.20,2356.20,2157.20,2249.70,2249.70,-
01-09-87,2249.70,2375.90,2238.60,2366.00,2366.00,-
01-10-87,2372.10,2399.90,1598.00,1749.80,1749.80,-
01-11-87,1737.10,1737.10,1515.00,1579.90,1579.90,-
01-12-87,1579.90,1792.30,1562.10,1713.90,1713.90,-
01-01-88,1713.90,1810.30,1711.50,1790.80,1790.80,-
01-02-88,1790.80,1807.30,1690.00,1768.80,1768.80,-
01-03-88,1781.00,1855.70,1739.00,1742.50,1742.50,-
01-04-88,1742.50,1826.80,1725.40,1802.20,1802.20,-
01-05-88,1802.20,1809.70,1752.00,1784.50,1784.50,-
